atasozu;kullanim_alani
abanýn kadri yaðmurda bilinir;hayat
abdal (derviþ) tekkede, hacý mekke`de bulunur;hayat
abdala(derviþe) “kar yaðýyor” demiþler, “titremeye hazýrým” demiþ;psikoloji
acele bir aðaçtýr, meyvesi piþmanlýk;hayat
acele ile menzil alýnmaz;sabýr
acele iþe þeytan karýþýr;sabýr
acemi katýr kapý önünde yük indirir;eðitim
acýkan doymam (sanýr), susayan kanmam sanýr;psikoloji
acýkmýþ kudurmuþtan beterdir;psikoloji
acýndýrýrsan arsýz olur, acýktýrýrsan hýrsýz olur;psikoloji
acý patlýcaný kýraðý çalmaz;hayat
acý (kötü) söz insaný (adamý) dininden (çýkarýr), tatlý söz (dil) yýlaný deliðinden (ininden) çýkarýr;psikoloji
aç aman bilmez, çocuk zaman bilmez;aile
aç (arýk) at yol almaz, aç (arýk) it av almaz;saðlýk
aç ayý oynamaz;iþ
aç býrakma hýrsýz edersin, çok söyleme arsýz (yüzsüz) edersin;psikoloji
aç doymam, tok acýkmam sanýr;psikoloji
aç elini kora sokar;hayat
aç gözünü, açarlar gözünü;hayat
açýk aðýz aç kalmaz;hayat
açýk yaraya tuz ekilmez;psikoloji
açýk yerde tepecik kendini dað sanýr;psikoloji
açýlan solar, aðlayan güler;psikoloji
açýn gözü ekmek teknesindedir (olur);hayat
açýn karný doyar, gözü doymaz;psikoloji
aç kurt bile komþusunu dalamaz;toplum
açma sýrrýný dostuna, o da söyler dostuna;psikoloji
aç ne yemez, tok ne demez;psikoloji
açtýrma kutuyu, söyletme kötüyü;psikoloji
aç tavuk (düþünde) kendini buðday (arpa, darý) ambarýnda sanýr (görür);psikoloji
aç tokun yüzüne bakmakla doymaz;hayat
adalet ile zulüm bir yerde barýnmaz;toplum
adam adama her daim muhtaç (gerek olur);toplum
adam adama yük deðil, can gövdeye mülk deðil (adam adama yük olmaz);toplum
adam adamdan korkmaz, utanýr (hatýr sayar);psikoloji
adam adam denmekle adam olmaz;eðitim
"adam adamdýr, olmasa da pulu; eþek eþektir, olmasa da çulu";psikoloji
adam adamý bir kere (defa) aldatýr;psikoloji
adama dayanma ölür, duvara (aðaca) dayanma yýkýlýr (kurur);hayat
adam ahbabýndan bellidir (bana arkadaþýný söyle sana kim olduðunu diyeyim);toplum
adamýn (insanýn) adý çýkacaðýna (çýkmaktansa) caný çýksýn (çýkmasý yeðdir);psikoloji
adamak kolay, ödemek güçtür;hayat
adamýn iyisi alýþ veriþte belli olur;iþ
